RDMD_ID,Region,"Household ID","Family Size","Urban / Rural"
169,16,850601200200000070006,004,2
170,16,850601200200000520042,002,2
171,16,850601200200000740063,003,2
172,16,850601200200001620129,004,2
173,16,850601200200001400115,002,2
174,16,850601200200000290026,007,2
175,16,850601200200001188001,006,2
176,16,850601200200000300027,006,2
177,16,680300900900001400135,004,1
178,16,680300900900001040103,007,1
179,16,680300900900003410329,004,1
180,16,680300900900003050296,008,1
181,16,680300900900003230311,006,1
182,16,680300900900000700069,006,1
183,16,680300900900002690266,003,1
184,16,680300900900000170016,004,1
185,16,680300900900001630169,001,1
186,16,680300900900002870280,002,1
187,16,680300900900002518002,002,1
188,16,680300900900001810185,004,1
189,16,680300900900000888004,001,1
190,16,680300900900000160015,004,1
191,16,680300900900003760153,005,1
192,16,680300900900002160214,005,1
193,16,680300900900002008001,004,1
194,16,680300900900000528003,004,1
195,16,680300900900000340033,001,1
196,16,680300900900001860232,001,1
197,16,672404100300001010096,004,1
198,16,672404100300001150109,006,1
199,16,672404100300001880173,004,1
200,16,672404100300000870083,006,1
201,16,672404100300000130012,004,1
202,16,672404100300003380318,003,1
203,16,672404100300002888002,003,1
204,16,672404100300003160295,003,1
205,16,672404100300001590147,007,1
206,16,672404100300002028001,006,1
207,16,672404100300002310213,013,1
208,16,672404100300002170200,004,1
209,16,672404100300003598003,002,1
210,16,672404100300000140013,001,1
211,16,672404100300003030281,003,1
212,16,672404100300000290027,003,1
213,16,672404100300002740252,002,1
214,16,672404100300003490331,008,1
215,16,672404100300001300124,005,1
216,16,030601200200001720172,005,2
217,16,030601200200001900190,004,2
218,16,030601200200001180118,004,2
219,16,030601200200000820082,005,2
220,16,030601200200002800280,006,2
221,16,030601200200002268001,007,2
222,16,030601200200001540154,003,2
223,16,030601200200002440244,005,2
224,16,030601200200000460046,006,2
225,16,030601200200001000100,010,2
226,16,030601200200002080208,010,2
227,16,030601200200000100010,005,2
228,16,030601200200002620262,003,2
229,16,030601200200001360136,007,2
230,16,030601200200000150015,005,2
231,16,030601200200000640064,010,2
232,17,591500900000002010167,004,2
233,17,591500900000000490040,001,2
234,17,591500900000002390201,003,2
235,17,591500900000000870072,002,2
236,17,591500900000000280021,004,2
237,17,591500900000000680057,004,2
238,17,591500900000001250101,006,2
239,17,591500900000003720322,003,2
240,17,591500900000001820152,002,2
241,17,591500900000002770237,005,2
242,17,591500900000001630133,007,2
243,17,591500900000003150269,001,2
244,17,591500900000002200183,003,2
245,17,591500900000002960250,003,2
246,17,591500900000001060084,003,2
247,17,591500900000000410033,003,2
248,17,591500900000003340287,003,2
249,17,591200100000000948002,001,2
250,17,591200100000001900171,004,2
251,17,591200100000003170291,006,2
252,17,591200100000000290026,008,2
253,17,591200100000002698003,005,2
254,17,591200100000000780071,004,2
255,17,591200100000000620056,002,2
256,17,591200100000002370216,008,2
257,17,591200100000001100101,001,2
258,17,591200100000001268001,003,2
259,17,591200100000002530231,003,2
260,17,591200100000002060186,007,2
261,17,591200100000000460042,007,2
262,17,591200100000001740156,007,2
263,17,591200100000000110010,002,2
264,17,591200100000002210200,001,2
265,17,591200100000002850261,004,2
266,17,591200100000003010275,005,2
267,17,591200100000001420129,005,2
268,17,591200100000001580143,003,2
269,17,591101700200001480106,001,2
270,17,591101700200001180082,004,2
271,17,591101700200000118001,007,2
272,17,591101700200000880062,004,2
273,17,591101700200001030071,003,2
274,17,591101700200000870119,005,2
275,17,591101700200000450032,002,2
276,17,591100200200001010088,003,2
277,17,591100200200000560048,003,2
278,17,591100200200001160100,005,2
279,17,591100200200002068002,006,2
280,17,591100200200000428006,004,2
281,17,591100200200000710061,006,2
282,17,591100200200002210186,001,2
283,17,591100200200000300024,004,2
284,17,591100200200000138001,008,2
285,17,591100200200000230017,005,2
286,17,591100200200001918004,003,2
