RDMD_ID,Region,"Household ID","H5 - Reported incident to authority","I4 - Type of construction materials of the floor","I7 - Presence electricity in the building/house"
149," 3",540201200500000010001," ",1,1
150," 3",540201200500000210020," ",1,1
151," 3",540201200500000210021," ",1,1
152," 3",540201200500000210022," ",1,1
153," 3",540201200500001438001," ",1,1
154," 3",540201200500000410043," ",5,1
155,14,010600600000001420139," ",4,1
156,14,010600600000000080007," ",4,1
157,14,010600600000000230023," ",1,1
158,14,010600600000000220022," ",2,1
159,14,010600600000001300128," ",1,1
160,14,010600600000000470045," ",4,1
161,14,010600600000001060103," ",1,1
162,14,010600600000000590058," ",1,1
163,14,010600600000000940091," ",1,1
164,14,010600600000000710071," ",5,1
165,14,010600600000001540146," ",1,1
166,14,010600600000000820080," ",1,1
167,16,850601200200001180094," ",1,1
168,16,850601200200000050004," ",2,1
169,16,850601200200000070006," ",1,1
170,16,850601200200000520042," ",1,1
171,16,850601200200000740063," ",1,1
172,16,850601200200001620129," ",5,1
173,16,850601200200001400115," ",1,1
174,16,850601200200000290026," ",1,1
175,16,850601200200001188001," ",2,1
176,16,850601200200000300027," ",1,1
177,16,680300900900001400135," ",1,1
178,16,680300900900001040103," ",1,1
179,16,680300900900003410329," ",2,1
180,16,680300900900003050296," ",2,1
181,16,680300900900003230311," ",1,1
182,16,680300900900000700069," ",2,1
183,16,680300900900002690266," ",2,1
184,16,680300900900000170016," ",2,1
185,16,680300900900001630169," ",2,1
186,16,680300900900002870280," ",2,1
187,16,680300900900002518002," ",2,1
188,16,680300900900001810185," ",2,1
189,16,680300900900000888004," ",2,1
190,16,680300900900000160015," ",1,1
191,16,680300900900003760153," ",2,1
192,16,680300900900002160214," ",2,1
193,16,680300900900002008001," ",5,1
194,16,680300900900000528003," ",1,1
195,16,680300900900000340033," ",2,1
196,16,680300900900001860232," ",2,1
197,16,672404100300001010096," ",2,1
198,16,672404100300001150109," ",4,1
199,16,672404100300001880173," ",1,1
200,16,672404100300000870083," ",1,1
201,16,672404100300000130012," ",1,1
202,16,672404100300003380318," ",1,1
203,16,672404100300002888002," ",1,1
204,16,672404100300003160295," ",1,1
205,16,672404100300001590147," ",1,1
206,16,672404100300002028001," ",1,1
207,16,672404100300002310213," ",1,1
208,16,672404100300002170200," ",1,1
209,16,672404100300003598003," ",1,1
210,16,672404100300000140013," ",1,1
211,16,672404100300003030281," ",1,1
212,16,672404100300000290027," ",1,1
213,16,672404100300002740252," ",2,1
214,16,672404100300003490331," ",1,1
215,16,672404100300001300124," ",2,1
216,16,030601200200001720172," ",4,2
217,16,030601200200001900190," ",2,1
218,16,030601200200001180118," ",2,1
219,16,030601200200000820082," ",2,1
220,16,030601200200002800280," ",5,2
221,16,030601200200002268001," ",2,1
222,16,030601200200001540154," ",2,1
223,16,030601200200002440244," ",1,1
224,16,030601200200000460046," ",2,1
225,16,030601200200001000100," ",4,1
226,16,030601200200002080208," ",1,1
227,16,030601200200000100010," ",2,1
228,16,030601200200002620262," ",2,1
229,16,030601200200001360136," ",1,1
230,16,030601200200000150015," ",1,1
231,16,030601200200000640064," ",2,1
232,17,591500900000002010167," ",1,1
233,17,591500900000000490040," ",1,1
234,17,591500900000002390201," ",4,1
235,17,591500900000000870072," ",1,1
236,17,591500900000000280021," ",1,1
237,17,591500900000000680057," ",4,1
238,17,591500900000001250101," ",1,1
239,17,591500900000003720322," ",4,1
240,17,591500900000001820152," ",5,2
241,17,591500900000002770237," ",1,1
242,17,591500900000001630133," ",1,1
243,17,591500900000003150269," ",1,1
244,17,591500900000002200183," ",1,1
245,17,591500900000002960250," ",1,1
246,17,591500900000001060084," ",1,1
247,17,591500900000000410033," ",1,1
248,17,591500900000003340287," ",1,1
249,17,591200100000000948002," ",1,1
250,17,591200100000001900171," ",1,1
251,17,591200100000003170291," ",1,1
252,17,591200100000000290026," ",1,1
253,17,591200100000002698003," ",1,1
254,17,591200100000000780071," ",1,1
255,17,591200100000000620056," ",5,1
256,17,591200100000002370216," ",1,1
257,17,591200100000001100101," ",5,2
258,17,591200100000001268001," ",1,1
259,17,591200100000002530231," ",1,1
260,17,591200100000002060186," ",1,2
261,17,591200100000000460042," ",1,1
262,17,591200100000001740156," ",1,1
263,17,591200100000000110010," ",2,2
264,17,591200100000002210200," ",1,1
265,17,591200100000002850261," ",1,1
266,17,591200100000003010275," ",1,1
267,17,591200100000001420129," ",1,1
268,17,591200100000001580143," ",1,1
269,17,591101700200001480106," ",1,1
270,17,591101700200001180082," ",1,1
271,17,591101700200000118001," ",1,1
272,17,591101700200000880062," ",1,1
273,17,591101700200001030071," ",1,1
274,17,591101700200000870119," ",1,1
275,17,591101700200000450032," ",1,1
276,17,591100200200001010088," ",1,1
277,17,591100200200000560048," ",1,1
278,17,591100200200001160100," ",1,1
279,17,591100200200002068002," ",1,1
280,17,591100200200000428006," ",1,1
281,17,591100200200000710061," ",1,1
282,17,591100200200002210186," ",1,2
283,17,591100200200000300024," ",1,1
284,17,591100200200000138001," ",1,1
285,17,591100200200000230017," ",1,1
286,17,591100200200001918004," ",1,1
287,17,591100200200000868003," ",1,1
288,17,591100200200001768005," ",1,1
289,17,591100200200001460126," ",4,1
290,17,591100200200000420036," ",1,1
291,17,591003000000000810065," ",1,1
292,17,591003000000001630135," ",1,1
293,17,591003000000003430295," ",1,1
294,17,591003000000002330199," ",1,1
295,17,591003000000002880244," ",1,1
296,17,591003000000001368004," ",1,1
297,17,591003000000002190186," ",1,1
298,17,591003000000003570308," ",1,1
299,17,591003000000002740233," ",1,1
300,17,591003000000000070007," ",5,1
301,17,591003000000000940077," ",1,1
302,17,591003000000002050174," ",1,1
303,17,591003000000000678002," ",1,1
304,17,591003000000000240021," ",1,1
305,17,591003000000001770149," ",1,1
306,17,591003000000000530042," ",1,1
307,17,591003000000001080089," ",1,1
308,17,591003000000000150014," ",1,1
309,17,591003000000003020256," ",1,1
310,17,591003000000002610222," ",1,1
311,17,591003000000001500124," ",1,1
312,17,591003000000001910162," ",1,1
313,17,591003000000003168003," ",1,1
314,17,591003000000002478001," ",1,1
315,17,591003000000003300282," ",1,1
316,17,591002800000000858001," ",1,2
317,17,591002800000000990087," ",1,1
318,17,591002800000001410128," ",1,2
319,17,591002800000001970177," ",1,2
320,17,591002800000000570055,1,1,2
321,17,591002800000001550139," ",1,2
322,17,591002800000002250200," ",1,2
323,17,591002800000001130099," ",1,2
324,17,591002800000002818002," ",1,2
325,17,591002800000003370299," ",1,2
326,17,591002800000000230023," ",5,1
327,17,591002800000002950256," ",1,2
328,17,591002800000002530222," ",1,2
329,17,591002800000003230286," ",1,2
330,17,591002800000000430042," ",1,2
331,17,591002800000002110188," ",1,1
332,17,591002800000000290029," ",1,2
333,17,591001700000002290218," ",1,2
334,17,591001700000000230022," ",1,2
335,17,591001700000001340128," ",1,1
336,17,591001700000001060100," ",5,1
337,17,591001700000002020191," ",1,2
338,17,591001700000001610154," ",1,2
339,17,591001700000000660062," ",1,2
340,17,591001700000002830267," ",1,1
341,17,591001700000000390037," ",1,2
342,17,591001700000000800076," ",1,2
343,17,591001700000002420229," ",1,2
344,17,591001700000000940088," ",1,1
345,17,591001700000001480142," ",1,1
346,17,591001700000000520048," ",1,1
347,17,591001700000001880179," ",1,2
348,17,591001700000000240023," ",1,1
349,17,591001700000000070006," ",1,1
350,17,591001700000001748001," ",1,1
351,17,591001700000001200114," ",1,2
352,17,591001700000003230311," ",5,1
353,17,591001700000003100299," ",1,1
354,17,591001700000002970286," ",1,2
355,17,591001700000002560242," ",1,2
356,17,591001700000002690254," ",4,1
357,17,591001000100000480042," ",1,1
358,17,591001000100002700247," ",1,1
359,17,591001000100003448001," ",1,1
360,17,591001000100003250295," ",5,1
361,17,591001000100000300027," ",4,1
362,17,591001000100001770164," ",1,1
363,17,591001000100002150195," ",1,1
364,17,591001000100002880264," ",1,1
365,17,591001000100000850075," ",1,1
366,17,591001000100001410130," ",4,1
367,17,591001000100000290026," ",5,1
368,17,591001000100001960180," ",5,1
369,17,591001000100002510230," ",1,1
370,17,591001000100000090009," ",1,1
371,17,591001000100001220111," ",5,1
372,17,591001000100002330212," ",1,1
373,17,591001000100001040093," ",1,1
374,17,591001000100000070007," ",1,1
375,17,591001000100000670059," ",1,1
376,17,591000900200002390234," ",1,1
377,17,591000900200000280028," ",5,1
378,17,591000900200000070007," ",1,1
379,17,591000900200001828001," ",1,1
380,17,591000900200000870086," ",1,1
381,17,591000900200001440141," ",1,1
382,17,591000900200002580253," ",1,1
383,17,591000900200000690069," ",1,1
384,17,591000900200002960286," ",1,1
385,17,591000900200000030003," ",1,1
386,17,591000900200001250122," ",1,1
387,17,591000900200000500050," ",4,1
388,17,591000900200002770268," ",1,1
389,17,591000900200002010197," ",1,1
390,17,591000900200001060103," ",1,1
391,17,591000900200001630160," ",4,1
392,16,020302800000000620072," ",1,2
393,16,020302800000001730192," ",1,1
394,16,020302800000001570173," ",1,1
395,16,020302800000000460056," ",1,1
396,16,020302800000001108001," ",1,1
397,16,020302800000001260140," ",1,1
398,16,020302800000000780089," ",1,1
399,16,020302800000000350041," ",1,1
400,16,020302800000000940105," ",1,1
401,16,020302800000001420157," ",1,1
402,16,020302800000000298002," ",1,1
403,17,591000800100000460041," ",1,1
404,17,591000800100000960084," ",1,2
405,17,591000800100002220199," ",1,1
406,17,591000800100001720153," ",1,2
407,17,591000800100002460220," ",1,1
408,17,591000800100000440039," ",1,2
409,17,591000800100001968002," ",1,2
410,17,591000800100000680058," ",1,1
411,17,591000800100000708001," ",1,1
412,17,591000800100001460129," ",1,2
413,17,591000100000000070007," ",1,1
414,17,591000100000001370130," ",1,1
415,17,591000100000000670063," ",5,1
416,17,591000100000000230022," ",4,1
417,17,591000100000001090103," ",1,1
418,17,591000100000000150015," ",1,1
419,17,591000100000000380035," ",1,1
420,17,591000100000000530049," ",1,1
421,17,591000100000001230116," ",4,1
422,17,591000100000000950089," ",1,2
423,17,590902500000004200377," ",1,1
424,17,590902500000003810338," ",1,1
425,17,590902500000001870166," ",1,1
426,17,590902500000004598001," ",4,2
427,17,590902500000003420301," ",4,1
428,17,590902500000001090098," ",1,1
429,17,590902500000000160016," ",1,1
430,17,590902500000000700066," ",1,1
431,17,590902500000002250199," ",1,1
432,17,590902500000000290027," ",1,1
433,17,590902500000003030268," ",1,1
434,17,590902500000002640234," ",1,2
435,17,590901500000000190019," ",1,1
436,17,590901500000001980188," ",4,1
437,17,590901500000000220022," ",4,1
438,17,590901500000000530052," ",5,1
439,17,590901500000001110106," ",5,1
440,17,590901500000000820078," ",1,1
441,17,590901500000001690159," ",4,1
442,17,590901500000000500049," ",5,1
443,17,590901500000001400131," ",4,1
444,17,590901000300101710160," ",1,1
445,17,590901000300100460042," ",1,1
446,17,590901000300100150015," ",2,2
447,17,590901000300101990186," ",1,1
448,17,590901000300100740067," ",1,1
449,17,590901000300100880082," ",1,1
450,17,590901000300101430131," ",1,1
451,17,590901000300101290118," ",1,1
452,17,590901000300100070007," ",1,1
453,17,590901000300100600056," ",5,1
454,17,590901000300101850175," ",1,1
455,17,590901000300100320130," ",1,1
456,17,590901000300101570144," ",1,1
457,17,590901000300101150107," ",1,1
458,17,590900600300100190018," ",1,1
459,17,590900600300101690164," ",1,1
460,17,590900600300101090106," ",5,1
461,17,590900600300101840179," ",1,1
462,17,590900600300100940091," ",1,1
463,17,590900600300100490046," ",1,1
464,17,590900600300101390134," ",5,1
465,17,590900600300100040004," ",1,1
466,17,590900600300101240121," ",1,1
467,17,590900600300100340033," ",5,1
468,17,590900600300100640061," ",5,1
469,17,590900600300100790076," ",1,1
470,17,590900600300101540149," ",5,1
471,17,590900600200000310039," ",1,1
472,17,590900600200000140017," ",1,1
473,17,590701100300100260026," ",4,1
474,17,590701100300100590057," ",1,1
475,17,590701100300100070007," ",4,2
476,17,590701100300100750073," ",1,1
477,17,590701100300100080008," ",1,1
478,17,590701100300103300308," ",5,1
479,17,590701100300102500232," ",4,2
480,17,590701100300102820262," ",1,1
481,17,590701100300102988002," ",1,1
482,17,590701100300102340217," ",4,1
483,17,590701100300100430043," ",1,1
484,17,590701100300100910088," ",4,2
485,17,590701100300102828001," ",1,1
486,17,590701100300101540141," ",1,1
487,17,590701100300100250025," ",1,1
488,17,590701100300101390128," ",1,1
489,17,590701100300102660248," ",1,1
490,17,590701100300101238003," ",5,1
491,17,590701100300101700156," ",1,1
492,17,590700800000003248001," ",4,1
