ISO3,Country / Territory,Year,Event Name,Date of Event (start),Disaster Internal Displacements,Disaster Internal Displacements (Raw),Hazard Category,Hazard Type,Hazard Sub Type,Event Codes (Code:Type)
PHL,Philippines,2020,"Philippines, Viet Nam: Typhoon Molave (Quinta (PHL), Storm 9 (VNM)) -  23/10/2020",2020-10-23,623000,623005,Weather related,Storm,Typhoon/Hurricane/Cyclone,
PHL,Philippines,2020,"Philippines: Tail-End of a Frontal System (Shear Line)  - Cagayan Valley (Cagayan, Isabela, Quirino) - 28/11/2020",2020-11-28,1100,1074,Weather related,Storm,Storm,
PHL,Philippines,2020,Philippines: Flooding Incident in Cebu Province due to LPA - 02/12/2020,2020-12-02,11000,10884,Weather related,Flood,Flood,
PHL,Philippines,2020,"Philippines: Flooding Incident in Region VI - Western Visayas (Capiz, Iloilo) - 02/12/2020",2020-12-02,8500,8509,Weather related,Flood,Flood,
PHL,Philippines,2020,Philippines: Strong wind - Davao Region (Davao del sur/Davao city) - 20/08/2020,2020-08-20,140,145,Weather related,Storm,Storm,
PHL,Philippines,2020,Philippines: Flood - Western Visayas (Negros oriental/4 municipalities) - 31/12/2020,2020-12-31,11000,10778,Weather related,Flood,Flood,
PHL,Philippines,2020,"Philippines: Tropical Depression Ofel - Calabarzon, Bicol, Central Visayas - 13/10/2020",2020-10-13,6400,6424,Weather related,Storm,Storm,
PHL,Philippines,2020,"Philippines: Tornado, Western Visayas (Antique, San Jose) - 06/11/2020",2020-11-06,93,93,Weather related,Storm,Tornado,
PHL,Philippines,2020,"Philippines: Tropical depression KROVANH (""Vicky "" PHL) - Davao, Caraga - 18/12/2020",2020-12-18,93000,93217,Weather related,Storm,Storm surge,
PHL,Philippines,2020,"Philippines: Flash flood and Landlside - Davao Region (Davao de Oro, Davao del Norte, Davao Oriental) - 18/12/2020",2020-12-18,2100,2071,Weather related,Flood,Flood,
PHL,Philippines,2020,"Philippines: Storm (North East Monsoon) - Western Visaya (Aklan, New Washington) - 30/11/2020",2020-11-30,75,75,Weather related,Storm,Storm,
PHL,Philippines,2020,"Philippines: Northeast Monsoon Enhanced by Tropical Depression “VICKY” - Cagayan Valley (Cagayan, Isabella, Quirino) - 20/12/2020 ",2020-12-20,11000,10962,Weather related,Storm,Storm,
